"","n_Weight","n_Length","n_Age","Lat","Area_ha","Method","W_inf","SE_W_inf","CI95lo_W_inf","CI95hi_W_inf"
"Jatahmund Lake",8,117,15,62.62185,NA,3,2.46703283311255,0.575210415620728,1.65606263689213,3.89380642400883
"Julie Lake",0,1,0,62.17746,16.59,4,1.69332281353965,3.33817729191623,0.0164254565178781,11.9985597893472
"Juneau Lake (Cooper Landing)",3,12,0,60.57625,56.66,4,2.53239350260519,3.62709598480635,0.134119945177215,12.9555380710438
"Kenna Lake",0,2,0,63.7091,5.92,4,0.978922008262168,1.92666435764401,0.0132952535436633,6.50453123487262
"Kettle Lake",0,9,0,62.563693,NA,4,NA,NA,NA,NA
"Lake Louise",0,6735,4,62.32447,5913.07,3,3.13024011855283,3.79045180690182,1.60358902391275,9.92301694813562
"Lake Schrader",747,747,0,69.37954,1077.27,3,6.6988716136375,2.86043485918198,1.62136011141994,10.710719146539
"Landlocked Tangle Lake",123,789,26,62.99823,218.53,1,1.48519645120405,0.393958733361712,0.870152091254753,2.67529657794677
"Landmark Gap Lake",0,4,0,63.12974,297.85,4,3.02742886815085,3.02454797356682,0.430983113677368,11.5688575000841
"Lee's Lake",0,1,0,62.08638,30.35,4,2.03999574264915,4.7255769485172,0.0203666827935829,16.3661285533522
"Little Chandler Lake",35,195,3,68.27687,331.85,3,4.51774861434819,1.80727934403934,2.02158606130775,7.94146372696478
"Little Lake Louise",0,1,0,62.30231,506.32,4,3.29416274252725,4.85965047210412,0.130608216632617,17.9354030924473
"Long Lake (McCarthy Rd)",0,2,0,61.38122,NA,4,NA,NA,NA,NA
"Lost Lake",0,9,0,NA,NA,4,NA,NA,NA,NA
"Lower Hanagita",0,3,3,-143.79877,NA,4,NA,NA,NA,NA
"Lower Tangle Lake",104,430,6,63.13533,137.42,1,5.57752135147818,1.00777068611816,3.2361690647482,6.44249689440994
"Lower Twelve Mile Lake",0,1,0,62.7796,40.47,4,2.18390131549752,5.45066941950393,0.0140149949322053,18.4018134269092
"Michigan Lake",0,1,0,62.58475,113.31,4,2.68857161442866,3.86790117086367,0.115910905500384,13.6737267922029
"Minnesota Lake",0,1,0,62.57637,329.41,4,3.17083218879919,5.63655415819479,0.0707175260123957,20.1679831850018
"Monte Lake",27,27,0,63.50359,60,4,2.58888854532275,2.82721188312485,0.23109691905225,10.8305691674274
"Nabesna Twin 2 Lake",0,1,0,62.52668,7.51,4,1.13537808639168,2.89070589102457,0.00416482149250533,10.0289526470082
"Nickel Lake",0,9,0,63.8282,2.7,4,0.507708435726077,1.18387812143363,0.00254728543006041,4.16810766025321
"No Mercy Lake",0,23,0,63.86414,0.96,4,0.109705877934428,0.588782246453853,1.77791022138945e-05,1.91185607346159
"North Twin Lake",0,9,0,NA,NA,4,NA,NA,NA,NA
"Nutuvuki Lake",0,3,0,66.98426,1535.48,4,3.23208496864318,3.52571902055335,0.299636993262481,13.2902026494181
"Octopus Lake (Denali Hwy)",0,5,0,63.06127,8.09,4,1.20049154186979,2.54089477074527,0.00941618065285551,8.97101034862795
"Paul's Pond",0,2,0,NA,NA,4,NA,NA,NA,NA
"Paxson Lake",325,10655,390,62.90736,1569.9,3,2.57375101710232,0.105146589453928,2.39253395976433,2.80414680336028
"Petrokov Lake",0,14,0,63.189,NA,4,NA,NA,NA,NA
"Rangeview Lake",0,1,0,63.705764,2,4,0.362421431442665,1.01209264901315,0.000833116362646442,3.57904580851242
"Rapids Lake",0,51,0,NA,NA,4,NA,NA,NA,NA
"Rockhound Lake",0,37,0,63.863878,1,4,0.122251895996612,0.547376698516598,4.50203575320939e-05,1.83561105632074
"Round Lake (Chandler)",0,7,0,68.32142,194.25,4,2.73711058536134,3.05566763235577,0.243869224897396,11.6558180464918
"Round Tangle Lake",52,228,0,63.05591,156.15,3,2.58654545236272,0.811501554810288,1.67192284940331,4.59762499553658
"Sevenmile Lake",0,64,0,63.18142,622.75,4,3.24000480240053,3.5981057268536,0.317675527376122,13.518529793502
"Sevenmile Lake (Denali Hwy)",166,3336,210,63.09816,35.13,1,0.978869064748202,0.067158824453269,0.800976348920863,1.07248201438849
"Shallow Tangle Lake",73,107,0,63.07659,102.84,3,4.12583191150267,0.500004946558784,2.98773472214139,4.96809678771887
"Skilak Lake",370,369,0,60.41639,9914.8,3,0.808670766665304,0.203532165050134,0.552462335571742,1.23149510217064
"Snodgrass Lake",0,3,0,63.08039,83.8,4,2.6091683435556,3.65106108455578,0.114266536451803,12.9897677982404
"South Twin Lake",0,20,0,63.86333,5.38,4,0.911263333848972,1.5872045059113,0.0183845639421053,5.73051607948531
"Summit Lake (Parks Hwy)",0,2,0,63.31164,182.39,4,2.92370269821984,3.37312660722001,0.2742458520495,12.3980055580324
"Summit Lake (Paxson)",0,11,2,NA,NA,4,NA,NA,NA,NA
"Susitna Lake",2,24,0,62.39545,NA,4,NA,NA,NA,NA
"Swan Lake (Cooper Landing)",0,8,0,60.61404,36.42,4,2.18604579040055,3.0812047205436,0.100582355355018,11.164962018806
"Tanada Lake",0,2,0,62.42391,1203.36,4,3.48742477838934,4.11397563864832,0.293557587634357,15.330186912385
"Tazlina Lake",0,6,5,61.9498,NA,4,NA,NA,NA,NA
"Thing Two Lake",0,16,0,63.12482,NA,4,NA,NA,NA,NA
"Tsusena Butte Lake",0,8,0,62.93333,76.89,4,2.54319943717189,3.53584873597254,0.123515395559403,12.581597290839
"Two Bit Lake",129,824,178,63.13471,114.7,1,1,0.0455437130141457,0.873203883495146,1.05436893203883
"Tyone Lake",2,2,0,62.51293,388.5,4,2.88038339225497,3.49984727760613,0.229732036348002,13.0992344698054
"Upper Landmark Gap Lake",0,5,0,63.13313,NA,4,NA,NA,NA,NA
"Upper Summit Lake",4,4,0,60.637327,104.4,4,3.10929217680047,4.83618026392179,0.144179078840674,17.1982524787288
"Upper Tangle Lake",71,265,40,63.02778,151.91,3,5.0485020163427,1.65826124925745,3.37752425314126,10.090293541609
"Wait-A-Bit Lake",0,1,0,63.00832,36.42,4,2.19022429213269,3.91904026939507,0.0415440049787721,13.8113217612554
