"","n_Weight","n_Length","n_Age","Lat","Area_ha","Method","W_inf","SE_W_inf","CI95lo_W_inf","CI95hi_W_inf"
"Hanagita Lake",0,48,0,61.23465,52.61,4,2.535803846141,2.96758999911451,0.226624459978795,11.0024246794242
"Harding Lake",62,88,21,64.43474,887.18,2,13.1313798198585,1.77996079665421,10.4857309700205,17.3989257418991
"Hidden Lake (Kenai)",169,171,0,60.48471,682.7,1,1.70541747572816,0.145249475759496,1.36896402877698,1.86860869565217
"Iniakuk Lake",0,4,0,67.13484,1298.79,4,3.18561184401194,2.81718718478445,0.478209475812352,11.2255424933711
"Itkillik lake",10,849,42,68.40173,438.73,3,2.17496883867151,1.048094176163,1.31787927035389,5.27986646264296
"Jatahmund Lake",8,117,15,62.62185,NA,3,2.47400514187642,0.581086508848133,1.65256840014146,3.92556272441762
"Julie Lake",0,1,0,62.17746,16.59,4,1.88573241612548,2.42414870955661,0.111715737415908,8.88974172321775
"Juneau Lake (Cooper Landing)",3,12,0,60.57625,56.66,4,2.66394143807458,2.97093565258556,0.230163760821695,11.2970047534193
"Kenna Lake",0,2,0,63.7091,5.92,4,1.13065508012771,1.7607920559503,0.0344777237791698,6.36052541462089
"Kettle Lake",0,9,0,62.563693,NA,4,NA,NA,NA,NA
"Lake Louise",0,6735,4,62.32447,5913.07,3,3.13230244706589,3.62877340529386,1.61460060242123,9.82111590441951
"Lake Schrader",747,747,0,69.37954,1077.27,3,6.66856488852422,2.86373925372314,1.60966338293839,10.7114749926718
"Landlocked Tangle Lake",123,789,26,62.99823,218.53,1,1.48519645120405,0.415646498113202,0.870152091254753,2.67529657794677
"Landmark Gap Lake",0,4,0,63.12974,297.85,4,3.11527659509344,3.16718762988323,0.38422398777371,12.1742270349419
"Lee's Lake",0,1,0,62.08638,30.35,4,2.21931501310078,2.72331045809846,0.188034555475323,9.89738922449406
"Little Chandler Lake",35,195,3,68.27687,331.85,3,4.46496393768291,1.80010773757267,2.00969392440662,7.97671626497154
"Little Lake Louise",0,1,0,62.30231,506.32,4,3.26020262978314,3.29144740015545,0.428760341661125,12.4228083090633
"Long Lake (McCarthy Rd)",0,2,0,61.38122,NA,4,NA,NA,NA,NA
"Lost Lake",0,9,0,NA,NA,4,NA,NA,NA,NA
"Lower Hanagita",0,3,3,-143.79877,NA,4,NA,NA,NA,NA
"Lower Tangle Lake",104,430,6,63.13533,137.42,1,5.57752135147818,1.01331902812484,3.2361690647482,6.44249689440994
"Lower Twelve Mile Lake",0,1,0,62.7796,40.47,4,2.37463783059762,2.7524080517979,0.202262513481336,10.3936063447776
"Michigan Lake",0,1,0,62.58475,113.31,4,2.88485320067168,3.12132509737396,0.313626711686647,11.6641267823687
"Minnesota Lake",0,1,0,62.57637,329.41,4,3.18601079978085,3.30889539370499,0.408402832284805,12.6968483420556
"Monte Lake",27,27,0,63.50359,60,4,2.72545644723564,2.91936488810864,0.286110217286467,11.0538267569118
"Nabesna Twin 2 Lake",0,1,0,62.52668,7.51,4,1.31213267515816,1.98689339413131,0.0376752901668094,7.28995722837712
"Nickel Lake",0,9,0,63.8282,2.7,4,0.623722009197985,1.27438047077191,0.00437243385734286,4.46622582952391
"No Mercy Lake",0,23,0,63.86414,0.96,4,0.132266503334718,0.599560307601255,4.85645944097852e-05,1.96402348052491
"North Twin Lake",0,9,0,NA,NA,4,NA,NA,NA,NA
"Nutuvuki Lake",0,3,0,66.98426,1535.48,4,3.18329647437002,2.98036778041781,0.525907862678443,11.7140654791738
"Octopus Lake (Denali Hwy)",0,5,0,63.06127,8.09,4,1.34334630636994,2.0262349380688,0.0457636426043828,7.31105538452288
"Paul's Pond",0,2,0,NA,NA,4,NA,NA,NA,NA
"Paxson Lake",325,10655,390,62.90736,1569.9,3,2.57402867807743,0.105104780885458,2.39018356681091,2.80751360666645
"Petrokov Lake",0,14,0,63.189,NA,4,NA,NA,NA,NA
"Rangeview Lake",0,1,0,63.705764,2,4,0.425394174845781,1.0465247955992,0.00125572849350734,3.63498971407603
"Rapids Lake",0,51,0,NA,NA,4,NA,NA,NA,NA
"Rockhound Lake",0,37,0,63.863878,1,4,0.138792112915178,0.641596203533669,7.34532976133791e-05,2.01474450135966
"Round Lake (Chandler)",0,7,0,68.32142,194.25,4,2.83340791862585,2.69047579365173,0.378170184705955,10.4840775709235
"Round Tangle Lake",52,228,0,63.05591,156.15,3,2.55567539537372,0.797648276854601,1.67270017804791,4.56683358975432
"Sevenmile Lake",0,64,0,63.18142,622.75,4,3.2823790314065,3.20011038990259,0.435043517562717,12.3963545841577
"Sevenmile Lake (Denali Hwy)",166,3336,210,63.09816,35.13,1,0.978869064748202,0.0666862079614432,0.800976348920863,1.07809982014388
"Shallow Tangle Lake",73,107,0,63.07659,102.84,3,4.11609234054122,0.514956631164144,2.92688060417553,4.97053768177972
"Skilak Lake",370,369,0,60.41639,9914.8,3,0.802383749718696,0.203153411694127,0.553614301143858,1.23067096989267
"Snodgrass Lake",0,3,0,63.08039,83.8,4,2.69369186047736,2.89113231437147,0.276715576505939,11.208544525691
"South Twin Lake",0,20,0,63.86333,5.38,4,1.07413509402589,1.67633457890837,0.02662750691565,6.06815216393811
"Summit Lake (Parks Hwy)",0,2,0,63.31164,182.39,4,3.00385437086537,3.05350045694758,0.353764308535434,12.0206229268431
"Summit Lake (Paxson)",0,11,2,NA,NA,4,NA,NA,NA,NA
"Susitna Lake",2,24,0,62.39545,NA,4,NA,NA,NA,NA
"Swan Lake (Cooper Landing)",0,8,0,60.61404,36.42,4,2.33986461380282,2.88307330040701,0.189975324387336,10.9685116541804
"Tanada Lake",0,2,0,62.42391,1203.36,4,3.4293566974718,3.36232543299765,0.521952192732495,13.1540907312282
"Tazlina Lake",0,6,5,61.9498,NA,4,NA,NA,NA,NA
"Thing Two Lake",0,16,0,63.12482,NA,4,NA,NA,NA,NA
"Tsusena Butte Lake",0,8,0,62.93333,76.89,4,2.6957815322135,3.03219668720354,0.282266059176146,11.2098678581492
"Two Bit Lake",129,824,178,63.13471,114.7,1,1,0.0462934319293597,0.873203883495146,1.05436893203883
"Tyone Lake",2,2,0,62.51293,388.5,4,3.02312894603772,3.10098082960172,0.395704781963776,11.6055899127639
"Upper Landmark Gap Lake",0,5,0,63.13313,NA,4,NA,NA,NA,NA
"Upper Summit Lake",4,4,0,60.637327,104.4,4,3.26405324853332,3.81760935148015,0.294445971029869,14.33639426881
"Upper Tangle Lake",71,265,40,63.02778,151.91,3,5.03504183567008,1.66484446856569,3.38474456385349,10.204169162192
"Wait-A-Bit Lake",0,1,0,63.00832,36.42,4,2.36440172901728,2.71710224798145,0.198838533777738,10.1822885374042
